# fit | chi2 = 31.42 | parameters: omega_b: 2.2350e-02, omega_cdm: 1.2000e-01, Omega_k: 0.0000e+00, Omega_nu: 0.0000e+00, Omega_m: 3.1243e-01, h: 6.7500e-01, A_s: 2.0989e-09, n_s: 9.6500e-01, sigma8: 8.2330e-01, 
# b1: 2.0466, c2: 1.1875, c4: 0.0000, b3: 0.7758, cct: 0.4175, cr1: -1.3032, cr2: -1.3002, ce0: 0.3168, ce1: 0.0000, ce2: -2.9460, cr4: 0.0000, cr6: 0.0000, b2: 0.8397, b4: 0.8397, 
# k [h/Mpc], P_data_l0 [Mpc/h]^3, sigma_data_l0 [Mpc/h]^3, P_theo_l0 [Mpc/h]^3k [h/Mpc], P_data_l2 [Mpc/h]^3, sigma_data_l2 [Mpc/h]^3, P_theo_l2 [Mpc/h]^3
0.0162 3.584520e+04 1.798002e+04 2.403282e+04
0.0269 1.381780e+04 9.881457e+03 2.294234e+04
0.0377 2.077820e+04 5.501754e+03 1.805288e+04
0.0485 1.397610e+04 3.531006e+03 1.420687e+04
0.0592 1.345490e+04 2.565701e+03 1.175921e+04
0.0700 1.194860e+04 1.920628e+03 9.827640e+03
0.0808 8.316160e+03 1.456235e+03 8.034056e+03
0.0916 4.942350e+03 1.069925e+03 6.536508e+03
0.1023 5.869490e+03 8.375930e+02 5.437137e+03
0.1131 4.413140e+03 6.613116e+02 4.605043e+03
0.1239 3.618970e+03 5.795153e+02 3.905561e+03
0.1346 3.953540e+03 4.881301e+02 3.325676e+03
0.1454 3.127110e+03 4.288543e+02 2.888961e+03
0.1562 3.412170e+03 3.501028e+02 2.548026e+03
0.1669 2.402880e+03 3.222002e+02 2.219677e+03
0.1777 1.903210e+03 2.780027e+02 1.875383e+03
0.1885 1.569590e+03 2.452462e+02 1.541211e+03
0.1993 1.145340e+03 2.205507e+02 1.263657e+03
0.2100 7.659950e+02 2.035940e+02 1.045366e+03
0.2208 8.598650e+02 1.797103e+02 8.489414e+02
